category,budget
"First Year Picnic",120
"Opening Meeting",150
"Zooktoberfest",70
"Tailgate",50
"Halloween Party",50
"Chili Cookoff",30
"Poker Tournament",50
"Super Bowl Party",40
"International Dinner",50
"MS/PhD Exam snack",60
"Intramurals",185
